,ds,yhat,yhat_lower,yhat_upper
2025-06-17,2025-06-17,94241.18505991614,60347.055301923414,128135.31481790886
2025-06-18,2025-06-18,94457.5260948019,60453.697913927455,128461.35427567633
2025-06-19,2025-06-19,94550.66193632023,60439.035546999614,128662.28832564085
2025-06-20,2025-06-20,94356.57426674651,60138.5089671665,128574.63956632651
2025-06-21,2025-06-21,94224.34843915158,59898.87640285791,128549.82047544525
2025-06-22,2025-06-22,94388.35593221689,59954.53523467708,128822.1766297567
2025-06-23,2025-06-23,94552.8977657489,60012.08445137114,129093.71108012667
2025-06-24,2025-06-24,94425.28270410426,59779.26211281917,129071.30329538936
2025-06-25,2025-06-25,94236.42229887917,59484.82490197074,128988.0196957876
2025-06-26,2025-06-26,94323.07703893502,59464.64742030138,129181.50665756867
2025-06-27,2025-06-27,94527.4182861559,59562.83582651447,129492.00074579733
2025-06-28,2025-06-28,94484.39239838996,59415.59312586558,129553.19167091434
2025-06-29,2025-06-29,94273.84509600732,59101.127899218394,129446.56229279625
2025-06-30,2025-06-30,94272.53677984307,58994.62197592931,129550.45158375683
2025-07-01,2025-07-01,94479.99252934662,59096.87259503999,129863.11246365326
2025-07-02,2025-07-02,94524.39946097202,59037.878106135846,130010.9208158082
2025-07-03,2025-07-03,94328.95050229451,58739.94742472786,129917.95357986115
2025-07-04,2025-07-04,94244.51799431138,58551.99751786703,129937.03847075572
2025-07-05,2025-07-05,94419.80195710759,58623.174559871666,130216.4293543435
2025-07-06,2025-07-06,94539.53340926394,58640.22769619071,130438.83912233717
2025-07-07,2025-07-07,94391.48057743645,58390.8883772277,130392.0727776452
2025-07-08,2025-07-08,94242.58225049778,58140.11658038988,130345.04792060569
2025-07-09,2025-07-09,94357.70699928107,58152.38976940071,130563.02422916144
2025-07-10,2025-07-10,94528.53788076168,58221.258431111426,130835.81733041193
2025-07-11,2025-07-11,94450.45886439575,58042.86294227062,130858.0547865209
