Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-08,0.4555,0.5719,0.4519,0.5454,514331728.7,1702079999999,268831873.28653,690430,259493917.4,135457486.66077,0
2023-12-09,0.5455,0.6474,0.5441,0.5791,716161289.8,1702166399999,430440055.48947,1024525,362750872.9,217952003.16488,0
2023-12-10,0.5791,0.6167,0.5694,0.5948,307447745.2,1702252799999,182506293.96298,411015,153985596.3,91430385.09723,0
2023-12-11,0.5947,0.5984,0.5106,0.5507,403945042.2,1702339199999,221900781.0572,565844,198752811.0,109155119.37287,0
2023-12-12,0.5507,0.6075,0.5506,0.5784,348838584.3,1702425599999,202207307.7595,468807,171645234.6,99533166.8179,0
2023-12-13,0.5784,0.6788,0.5419,0.6675,493921678.8,1702511999999,301799580.12334,748404,256450865.4,156882655.60063,0
2023-12-14,0.6677,0.68,0.61,0.6433,345212494.2,1702598399999,223926364.89631,563071,168400263.4,109325785.56332,0
2023-12-15,0.6433,0.6541,0.5998,0.6004,240571744.1,1702684799999,150971686.86327,334803,115481568.0,72467303.51106,0
2023-12-16,0.6004,0.6258,0.5865,0.6078,152365355.7,1702771199999,93165781.45232,225436,74102491.4,45337020.8457,0
2023-12-17,0.6078,0.6182,0.5772,0.5804,133192915.3,1702857599999,79541096.25177,205560,62406821.9,37285937.35002,0
2023-12-18,0.5805,0.6032,0.5435,0.6021,204175142.0,1702943999999,116740137.23098,268827,98875642.7,56624636.59095,0
2023-12-19,0.602,0.6173,0.5661,0.5761,198847462.1,1703030399999,117888095.70645,263424,96386033.4,57166682.83828,0
2023-12-20,0.576,0.61,0.5686,0.5894,198909767.8,1703116799999,117695306.98198,258663,99868803.7,59098242.80046,0
2023-12-21,0.5893,0.6397,0.5818,0.6351,226299061.9,1703203199999,137818976.62745,306890,115917232.5,70657701.88957,0
2023-12-22,0.6352,0.6513,0.6052,0.6226,214849930.8,1703289599999,134495989.9824,318419,103513292.8,64839215.33461,0
2023-12-23,0.6225,0.6231,0.5964,0.613,126272911.7,1703375999999,76532802.30518,159057,61162986.2,37078761.95602,0
2023-12-24,0.613,0.6286,0.585,0.5919,217308386.0,1703462399999,132896667.88659,275978,104164717.9,63760160.05661,0
2023-12-25,0.5919,0.635,0.589,0.6242,163634887.8,1703548799999,100302708.50801,202702,84454840.7,51799090.47812,0
2023-12-26,0.624,0.6279,0.5601,0.6087,221963239.7,1703635199999,133916166.27744,318817,107214676.1,64742857.9428,0
2023-12-27,0.6087,0.643,0.5839,0.6334,229068834.3,1703721599999,141756656.88542,313049,118341095.7,73303585.2715,0
2023-12-28,0.6334,0.6769,0.61,0.6158,321217533.2,1703807999999,205948966.08632,501268,158425489.6,101715625.76898,0
2023-12-29,0.6158,0.6258,0.5908,0.6083,195162581.0,1703894399999,118972507.00499,257434,94101324.0,57387956.02387,0
2023-12-30,0.6082,0.6133,0.5929,0.6011,96059388.4,1703980799999,58088553.25719,127117,45418538.8,27469321.83509,0
2023-12-31,0.601,0.61,0.58,0.594,104191519.8,1704067199999,62557065.99101,129126,50661362.8,30439507.55122,0
2024-01-01,0.5939,0.624,0.5902,0.6232,91021386.4,1704153599999,55163198.2366,120871,45870827.5,27806218.20771,0
2024-01-02,0.6233,0.637,0.6015,0.605,160535672.8,1704239999999,99671678.54985,205626,74364421.3,46204323.15519,0
2024-01-03,0.6051,0.6188,0.5,0.5569,319806612.8,1704326399999,180080645.78333,438535,147667938.6,83178489.48938,0
2024-01-04,0.5568,0.5791,0.5491,0.5699,149952088.0,1704412799999,84628917.81523,189308,74022007.8,41773621.04633,0
